review_title,review_description,points,price,country,variety,likes,variety_encoded
Amazing taste,Earthy and complex,87,158,USA,Pinot Noir,460,3
Amazing taste,Earthy and complex,92,156,Chile,Merlot,172,2
Loved it,Smooth and balanced,92,69,Chile,Chardonnay,479,1
Amazing taste,Smooth and balanced,80,102,France,Chardonnay,289,1
Great wine,A bit too sour,85,170,USA,Chardonnay,44,1
Could be better,Fruity and fresh,98,58,USA,Pinot Noir,60,3
Could be better,Rich and full of flavor,95,44,Chile,Chardonnay,82,1
Not bad,Earthy and complex,87,181,Spain,Syrah,122,4
Amazing taste,A bit too sour,80,111,France,Cabernet Sauvignon,357,0
Great wine,Rich and full of flavor,95,20,Chile,Pinot Noir,15,3
Not bad,A bit too sour,88,108,Italy,Merlot,65,2
Loved it,Smooth and balanced,92,119,Italy,Merlot,423,2
Not bad,Earthy and complex,90,83,France,Cabernet Sauvignon,144,0
Not bad,Rich and full of flavor,92,183,Spain,Pinot Noir,374,3
Amazing taste,Rich and full of flavor,89,18,Chile,Chardonnay,161,1
Loved it,Rich and full of flavor,83,12,USA,Chardonnay,233,1
Not bad,Rich and full of flavor,85,94,France,Syrah,379,4
Great wine,Rich and full of flavor,86,35,Spain,Syrah,143,4
Great wine,A bit too sour,84,81,USA,Chardonnay,357,1
Could be better,Earthy and complex,90,57,Italy,Merlot,187,2
Loved it,Smooth and balanced,92,165,Italy,Merlot,321,2
Loved it,Smooth and balanced,98,126,USA,Syrah,449,4
Could be better,Smooth and balanced,89,163,France,Cabernet Sauvignon,473,0
Not bad,Smooth and balanced,89,162,Italy,Chardonnay,12,1
Loved it,A bit too sour,90,21,Chile,Syrah,183,4
Great wine,Fruity and fresh,86,142,USA,Syrah,110,4
Great wine,Earthy and complex,97,57,USA,Chardonnay,414,1
Amazing taste,Rich and full of flavor,83,46,Italy,Chardonnay,289,1
Loved it,Fruity and fresh,81,53,France,Merlot,294,2
Not bad,Smooth and balanced,93,24,Chile,Cabernet Sauvignon,450,0
Could be better,Fruity and fresh,92,52,France,Cabernet Sauvignon,391,0
Could be better,Earthy and complex,91,185,Spain,Chardonnay,214,1
Not bad,Rich and full of flavor,86,96,Spain,Pinot Noir,461,3
Amazing taste,Rich and full of flavor,81,79,Italy,Syrah,119,4
Could be better,Earthy and complex,92,55,Italy,Syrah,381,4
Loved it,Earthy and complex,93,117,Italy,Chardonnay,54,1
Amazing taste,Smooth and balanced,96,132,Spain,Pinot Noir,26,3
Loved it,Rich and full of flavor,88,180,France,Merlot,117,2
Great wine,Fruity and fresh,96,30,France,Chardonnay,220,1
Amazing taste,A bit too sour,87,160,Italy,Chardonnay,230,1
Could be better,A bit too sour,81,116,Chile,Syrah,52,4
Amazing taste,Earthy and complex,92,89,France,Chardonnay,294,1
Amazing taste,Smooth and balanced,82,56,Spain,Chardonnay,320,1
Amazing taste,A bit too sour,95,126,USA,Chardonnay,400,1
Amazing taste,Rich and full of flavor,85,133,USA,Syrah,232,4
Loved it,Earthy and complex,98,152,USA,Merlot,157,2
Great wine,Fruity and fresh,86,34,Chile,Merlot,436,2
Not bad,Earthy and complex,89,45,Italy,Chardonnay,268,1
Amazing taste,Fruity and fresh,88,60,Spain,Syrah,20,4
Could be better,Earthy and complex,81,24,Chile,Merlot,402,2
Amazing taste,Earthy and complex,94,77,Spain,Merlot,52,2
Could be better,Earthy and complex,84,30,Spain,Merlot,274,2
Loved it,Fruity and fresh,83,150,Italy,Syrah,312,4
Could be better,Fruity and fresh,99,28,USA,Syrah,280,4
Not bad,Earthy and complex,83,43,Italy,Chardonnay,213,1
Great wine,A bit too sour,97,87,Chile,Cabernet Sauvignon,30,0
Could be better,Smooth and balanced,83,134,Chile,Merlot,336,2
Could be better,Smooth and balanced,96,126,Chile,Cabernet Sauvignon,182,0
Great wine,Smooth and balanced,91,61,Italy,Syrah,22,4
Not bad,Fruity and fresh,96,36,Spain,Syrah,31,4
Amazing taste,Fruity and fresh,89,166,Spain,Syrah,445,4
Could be better,A bit too sour,80,165,France,Cabernet Sauvignon,73,0
Great wine,Smooth and balanced,97,44,Chile,Syrah,9,4
Loved it,Smooth and balanced,97,145,Spain,Chardonnay,483,1
Great wine,Earthy and complex,93,153,France,Syrah,455,4
Loved it,Fruity and fresh,94,115,Spain,Pinot Noir,53,3
Not bad,Smooth and balanced,91,173,Chile,Cabernet Sauvignon,51,0
Amazing taste,A bit too sour,83,167,USA,Pinot Noir,147,3
Great wine,A bit too sour,82,155,Chile,Syrah,159,4
Could be better,Smooth and balanced,99,11,Italy,Chardonnay,369,1
Not bad,Fruity and fresh,91,186,Spain,Merlot,13,2
Great wine,A bit too sour,86,86,Spain,Syrah,177,4
Could be better,Earthy and complex,90,141,Italy,Chardonnay,411,1
Great wine,A bit too sour,80,99,Italy,Cabernet Sauvignon,365,0
Loved it,Rich and full of flavor,85,98,USA,Pinot Noir,499,3
Great wine,Rich and full of flavor,94,103,Spain,Pinot Noir,52,3
Great wine,Fruity and fresh,94,16,Spain,Pinot Noir,407,3
Great wine,Smooth and balanced,98,104,USA,Cabernet Sauvignon,334,0
